year,隊伍,姓名,生日,身高,體重,No.,位置,出賽場次,平均得分,平均籃板,平均助攻,平均火鍋,平均抄截,平均失誤,得分,三分命中,三分出手,三分命中率,兩分命中,兩分出手,兩分命中率,罰球進球,罰球出手,罰球命中率,進攻籃板,防守籃板,籃板,助攻,抄截,火鍋,失誤
2014-15,臺銀,余純安,02/13/1992,190,81,17,SF/PF,11,1.6,1.6,0.82,0,0.8,1.00,18,2,16,12.5,4,22,18.2,4,8,50,1,17,18,9,9,0,11
2014-15,臺銀,李維哲,05/08/1991,179,81,3,PG/SG,19,3.3,1.7,1.89,0,0.5,1.58,63,6,23,26.1,20,52,38.5,5,14,35.7,11,22,33,36,10,0,30
2014-15,臺銀,施晉堯,10/28/1990,186,88,12,SF/PF,19,3.3,1.5,0.74,0.05,0.6,0.74,62,9,35,25.7,15,21,71.4,5,7,71.4,5,23,28,14,12,1,14
2014-15,臺銀,高健益,06/10/1990,185,75,7,PG/SG,22,5.9,2.0,1.45,0.18,0.7,2.36,130,31,103,30.1,12,33,36.4,13,24,54.2,2,42,44,32,15,4,52
2014-15,臺銀,鄭皓璿,03/20/1989,183,78,59,PG/SG,1,9.0,1.0,2,0,0.0,4.00,9,1,7,14.3,3,6,50,0,0,0,1,0,1,2,0,0,4
2014-15,臺銀,成力煥,03/05/1988,189,90,21,PG/SG,28,4.1,2.0,1.29,0.18,0.7,2.00,114,3,17,17.7,38,77,49.4,29,43,67.4,24,33,57,36,19,5,56
2014-15,臺銀,陳侑昫,11/01/1990,195,90,4,PF/SF,10,0.6,0.8,0.1,0,0.1,0.30,6,0,0,0,3,7,42.9,0,2,0,5,3,8,1,1,0,3
2014-15,臺銀,林郅為,07/10/1992,200,95,14,C,22,2.7,2.1,0.32,0.14,0.3,0.91,59,0,0,0,27,68,39.7,5,16,31.3,17,28,45,7,7,3,20
2014-15,臺銀,James Tyler,02/22/1988,218,143,15,C,24,18.1,18.3,2.04,3.25,0.9,3.75,434,0,2,0,184,381,48.3,66,177,37.3,200,239,439,49,22,78,90
2014-15,臺銀,ROD BENSON,10/10/1984,208,107,17,C,5,18.8,11.2,3.6,1.4,1.6,4.80,94,1,1,100,42,86,48.8,7,28,25,16,40,56,18,8,7,24
2014-15,金酒,楊哲宜,10/20/1978,193,85,21,SG,16,9.1,2.3,1.81,0,1.1,1.63,145,23,73,31.5,30,72,41.7,16,25,64,11,25,36,29,18,0,26
2014-15,金酒,許皓程,09/14/1982,176,75,55,PG,24,2.3,2.0,2.25,0,0.8,1.75,55,6,39,15.4,12,44,27.3,13,18,72.2,10,38,48,54,20,0,42
2014-15,金酒,鄧安誠,11/06/1985,185,94,10,PF,30,3.7,4.0,0.77,0.33,1.3,0.67,112,8,28,28.6,38,100,38,12,23,52.2,51,70,121,23,40,10,20
2014-15,金酒,李俊緯,10/17/1988,199,90,13,PF,28,2.7,1.9,0.18,0.11,0.1,0.61,75,1,16,6.3,35,60,58.3,2,3,66.7,19,33,52,5,4,3,17
2014-15,金酒,陳靖寰,02/03/1986,190,80,95,SF,23,8.7,3.6,1.83,0.35,1.0,1.87,199,28,78,35.9,41,106,38.7,33,52,63.5,22,61,83,42,23,8,43
2014-15,金酒,陳慶閺,01/03/2011,0,0,6,SG,6,0.7,0.0,0.33,0,0.2,0.17,4,0,1,0,2,7,28.6,0,0,0,0,0,0,2,1,0,1
2014-15,金酒,林韋翰,07/09/1990,177,70,13,PG,25,6.4,2.6,3.44,0.08,1.9,2.48,160,24,80,30,28,56,50,32,46,69.6,20,44,64,86,47,2,62
2014-15,金酒,宋宇軒,12/05/1989,185,80,52,SG,14,6.4,0.9,0.36,0.21,0.4,1.07,89,5,24,20.8,34,78,43.6,6,16,37.5,3,9,12,5,6,3,15
2014-15,金酒,李家瑞,12/04/1994,200,90,12,C,23,2.4,0.9,0.3,0.13,0.3,0.35,55,2,12,16.7,20,37,54.1,9,13,69.2,8,12,20,7,7,3,8
2014-15,金酒,邱繼緯,05/12/1990,176,76,67,PG/SG,10,0.6,0.4,0.5,0,0.0,0.20,6,2,4,50,0,2,0,0,0,0,1,3,4,5,0,0,2
2014-15,金酒,郭少傑,04/09/1990,190,82,20,SF/PF,25,2.3,1.2,0.16,0.04,0.3,0.68,57,10,33,30.3,11,23,47.8,5,9,55.6,13,17,30,4,7,1,17
2014-15,金酒,陳鑫堯,12/23/1984,173,73,7,PG/SG,4,0.5,0.5,0.5,0,0.3,1.25,2,0,2,0,1,5,20,0,0,0,1,1,2,2,1,0,5
2014-15,金酒,陳冠全,12/30/1993,197,114,15,C,29,7.5,5.1,0.55,0.69,0.5,1.45,217,0,1,0,100,247,40.5,17,36,47.2,60,87,147,16,14,20,42
